SAMPLE	TOTAL	BOTH_ALLELES_SEEN	ASE<0.05	BOTH_ALLELES_SEEN_ASE<0.05	MEAN_COVERAGE	TOTAL_TOTCOUNT=16	BOTH_ALLELES_SEEN_TOTCOUNT=16	ASE<0.05_TOTCOUNT=16	BOTH_ALLELES_SEEN_ASE<0.05_TOTCOUNT=16
UC048L	48	41	33	26	41.1	48	41	33	26
UC117L	36	31	27	22	44.4	36	31	27	22
UCT1058	15	15	3	3	32.9	15	15	3	3
UC108L	68	59	43	34	38.6	68	59	43	34
UCT1175	32	30	3	1	34.8	32	30	3	1
UC167T	38	33	6	1	60.9	38	33	6	1
UCF1175	38	33	9	4	140.0	38	33	9	4
UCB1215	41	37	20	16	42.2	41	37	20	16
UCB1135	56	54	19	17	50.3	56	54	19	17
UCB1014	36	35	23	22	36.2	36	35	23	22
UCT1106	44	40	6	2	49.2	44	40	6	2
UCF1091	59	52	36	29	102.9	59	52	36	29
UCF1199	27	26	5	4	40.2	27	26	5	4
UC253T	27	26	7	6	29.9	27	26	7	6
UC169L	45	41	18	14	34.2	45	41	18	14
UCF1053	33	30	9	6	26.9	33	30	9	6
UCF1083	53	46	16	9	218.1	53	46	16	9
UCT1136	62	59	6	3	46.1	62	59	6	3
UCT1092	56	52	7	3	36.8	56	52	7	3
UCB1027	40	36	36	32	56.0	40	36	36	32
UCF1216	51	48	19	16	69.2	51	48	19	16
UC019L	27	21	25	19	38.4	27	21	25	19
UC125T	7	6	6	5	27.3	7	6	6	5
UC130T	14	12	2		53.9	14	12	2	
UC019T	35	33	17	15	42.4	35	33	17	15
UCT1211	35	33	17	15	56.3	35	33	17	15
UCF1057	36	34	9	7	114.4	36	34	9	7
UCT1045	31	29	12	10	36.5	31	29	12	10
UCT1027	45	43	22	20	45.6	45	43	22	20
UC169F	38	32	35	29	42.6	38	32	35	29
UCB1119	58	48	43	33	67.4	58	48	43	33
UC048F	37	31	35	29	48.6	37	31	35	29
UCB1021	37	36	13	12	37.8	37	36	13	12
UCF1194	47	46	17	16	68.5	47	46	17	16
UC304T	61	56	35	30	36.6	61	56	35	30
UCB1092	26	22	6	2	43.4	26	22	6	2
UCT1194	68	65	8	5	51.9	68	65	8	5
UC124T	5	4	5	4	167.8	5	4	5	4
UCT1131	43	41	15	13	34.0	43	41	15	13
UCB1131	35	31	5	1	37.9	35	31	5	1
UCB1146	43	37	8	2	41.0	43	37	8	2
UC177F	26	15	24	13	96.0	26	15	24	13
UCB1059	28	21	7		35.1	28	21	7	
UCF1010	32	31	5	4	39.1	32	31	5	4
UCT1040	47	44	36	33	41.9	47	44	36	33
UC167F	25	21	19	15	48.5	25	21	19	15
UC124F	19	10	19	10	216.1	19	10	19	10
UCT1057	47	45	19	17	40.9	47	45	19	17
UCT1091	59	54	35	30	47.2	59	54	35	30
UCF1148	48	44	27	23	116.3	48	44	27	23
UC282F	54	51	46	43	116.3	54	51	46	43
UC113T	49	47	4	2	42.6	49	47	4	2
UCB1056	47	43	21	17	45.7	47	43	21	17
UCT1053	54	49	10	5	43.0	54	49	10	5
UC253L	26	26	10	10	34.8	26	26	10	10
UC181L	30	22	19	11	38.9	30	22	19	11
UCT1071	69	66	11	8	71.1	69	66	11	8
UC060T	22	21	15	14	41.8	22	21	15	14
UCF1160	44	40	9	5	133.8	44	40	9	5
UCT1160	30	25	15	10	41.9	30	25	15	10
UCB1171	64	60	34	30	36.1	64	60	34	30
UC181T	35	29	10	4	40.6	35	29	10	4
UCT1059	42	38	6	2	46.0	42	38	6	2
UC164L	22	19	18	15	33.1	22	19	18	15
UCF1092	66	63	11	8	165.5	66	63	11	8
UCB1069	83	69	42	28	44.5	83	69	42	28
UCF1099	34	29	21	16	145.4	34	29	21	16
UC137L	28	22	10	4	43.1	28	22	10	4
UCT1128	43	38	16	11	41.6	43	38	16	11
UCB1216	53	49	37	33	32.1	53	49	37	33
UCT1088	39	37	16	14	38.1	39	37	16	14
UCT1199	33	32	5	4	32.6	33	32	5	4
UC282T	36	35	17	16	53.9	36	35	17	16
UCF1021	29	27	12	10	60.4	29	27	12	10
UCF1070	30	29	18	17	211.5	30	29	18	17
UC304L	76	70	38	32	41.9	76	70	38	32
UCT1184	40	35	39	34	56.3	40	35	39	34
UCT1135	38	37	8	7	70.1	38	37	8	7
UCF1076	39	37	15	13	150.5	39	37	15	13
UC042L	41	38	13	10	35.4	41	38	13	10
UCB1160	51	43	12	4	37.7	51	43	12	4
UCB1161	34	30	10	6	29.2	34	30	10	6
UCT1183	47	46	21	20	42.6	47	46	21	20
UCF1179	42	37	22	17	74.0	42	37	22	17
UCF1195	52	47	47	42	63.6	52	47	47	42
UCF1040	52	51	11	10	202.7	52	51	11	10
UCB1040	58	51	50	43	48.1	58	51	50	43
UCB1070	36	33	29	26	34.0	36	33	29	26
UCF1056	57	54	18	15	70.3	57	54	18	15
UCF1167	73	68	16	11	66.8	73	68	16	11
UCF1139	51	45	17	11	75.5	51	45	17	11
UCB1198	36	35	5	4	46.7	36	35	5	4
UC088F	40	39	22	21	175.3	40	39	22	21
UCT1191	31	25	8	2	33.9	31	25	8	2
UCB1136	46	42	7	3	50.2	46	42	7	3
UC152L	21	18	16	13	43.3	21	18	16	13
UCB1167	67	62	15	10	57.9	67	62	15	10
UCT1010	60	56	21	17	38.7	60	56	21	17
UCT1076	53	51	14	12	43.8	53	51	14	12
UCB1076	41	39	9	7	44.8	41	39	9	7
UC088T	35	32	26	23	65.3	35	32	26	23
UCT1196	38	38	3	3	57.6	38	38	3	3
