SAMPLE	TOTAL	BOTH_ALLELES_SEEN	ASE<0.05	BOTH_ALLELES_SEEN_ASE<0.05	MEAN_COVERAGE	TOTAL_TOTCOUNT=8	BOTH_ALLELES_SEEN_TOTCOUNT=8	ASE<0.05_TOTCOUNT=8	BOTH_ALLELES_SEEN_ASE<0.05_TOTCOUNT=8
HG00240.2.M_111215_5	327	158	303	134	130.7	327	158	303	134
NA20535.3.M_120202_2	215	169	185	139	47.7	215	169	185	139
HG00111.2.M_111215_4	238	197	162	121	151.9	238	197	162	121
NA20540.1.M_111124_2	187	159	96	68	102.0	187	159	96	68
HG00154.5.M_120131_7	244	212	198	166	78.7	244	212	198	166
NA12341.1.M_111124_5	270	51	246	27	113.0	270	51	246	27
NA19114.2.M_111215_7	328	287	108	67	69.3	328	287	108	67
HG00361.7.M_120219_5	143	21	140	18	165.1	143	21	140	18
NA19209.6.M_120217_1	350	293	94	37	76.1	350	293	94	37
NA12717.1.M_111124_3	259	63	227	31	79.6	259	63	227	31
NA12400.2.M_111216_2	176	43	153	20	134.3	176	43	153	20
NA20774.7.M_120219_1	142	122	39	19	84.4	142	122	39	19
NA20797.2.M_111215_6	204	80	186	62	159.6	204	80	186	62
HG00281.1.M_111124_3	194	163	152	121	84.5	194	163	152	121
NA20757.1.M_111124_1	204	183	125	104	101.3	204	183	125	104
NA20517.3.M_120202_8	237	198	135	96	89.5	237	198	135	96
HG00367.2.M_120131_1	181	156	127	102	102.1	181	156	127	102
NA12751.2.M_111215_8	279	246	80	47	84.5	279	246	80	47
NA11894.2.M_111215_4	210	176	148	114	152.1	210	176	148	114
NA20813.5.M_120131_1	232	204	88	60	91.8	232	204	88	60
NA12058.5.M_120131_7	348	83	307	42	66.9	348	83	307	42
HG00099.5.M_120131_3	182	157	110	85	87.8	182	157	110	85
NA19118.7.M_120219_8	453	384	118	49	86.6	453	384	118	49
HG00146.2.M_111216_1	289	147	253	111	91.5	289	147	253	111
HG00120.3.M_120202_2	170	142	97	69	102.3	170	142	97	69
HG00364.2.M_111215_8	252	210	146	104	127.1	252	210	146	104
NA12778.1.M_111124_4	206	173	127	94	68.0	206	173	127	94
NA18502.7.M_120219_8	449	100	414	65	107.7	449	100	414	65
NA20504.1.M_111124_7	251	190	205	144	135.2	251	190	205	144
HG00255.2.M_111216_1	247	191	202	146	65.5	247	191	202	146
NA20502.3.M_120202_4	206	59	192	45	108.8	206	59	192	45
NA20773.6.M_120119_4	239	210	121	92	135.8	239	210	121	92
