SAMPLE	TOTAL	BOTH_ALLELES_SEEN	ASE<0.05	BOTH_ALLELES_SEEN_ASE<0.05	MEAN_COVERAGE	TOTAL_TOTCOUNT=8	BOTH_ALLELES_SEEN_TOTCOUNT=8	ASE<0.05_TOTCOUNT=8	BOTH_ALLELES_SEEN_ASE<0.05_TOTCOUNT=8
GTEX-S4Q7-0426-SM-3K2BJ	5		5		28.4	5		5	
GTEX-NPJ7-2826-SM-2I3FU	83	83	33	33	58.8	83	83	33	33
GTEX-X4EO-0326-SM-3P5YO	87	87	21	21	137.0	87	87	21	21
GTEX-N7MS-0011-R5a-SM-2HMK8	10	1	10	1	100.5	10	1	10	1
GTEX-RVPU-0011-R10A-SM-2XCAH	1	1	1	1	68.0	1	1	1	1
GTEX-P4PP-0426-SM-3NM9H	86	86	9	9	142.7	86	86	9	9
GTEX-T6MO-1926-SM-32QOJ	81	81	29	29	129.6	81	81	29	29
GTEX-PLZ5-1626-SM-3NB21	20		20		192.2	20		20	
GTEX-QDT8-0011-R10A-SM-32PKG	70	70	47	47	85.0	70	70	47	47
GTEX-UPIC-0002-SM-3NMDC	75	17	69	11	121.4	75	17	69	11
GTEX-WRHU-0006-SM-3MJF6	72	70	25	23	120.9	72	70	25	23
GTEX-RU72-0126-SM-2TF6Z	54	53	14	13	40.8	54	53	14	13
GTEX-WL46-0126-SM-3TW8I	2		2		49.0	2		2	
GTEX-P4PQ-0226-SM-2S1NK	6		6		262.3	6		6	
GTEX-QCQG-0006-SM-2S1OW	26	26	1	1	41.5	26	26	1	1
GTEX-OOBJ-0006-SM-2I3F4	8	8	3	3	177.5	8	8	3	3
GTEX-WY7C-0926-SM-3NB34	2	1	2	1	140.5	2	1	2	1
GTEX-WL46-0011-R6A-SM-3LK6X	2		2		25.0	2		2	
GTEX-QEG4-0426-SM-33HC3	5	1	5	1	88.4	5	1	5	1
GTEX-OHPL-1026-SM-3MJGI	61	61	11	11	61.4	61	61	11	11
GTEX-P4PP-0005-SM-2HMKX	36	33	29	26	116.4	36	33	29	26
GTEX-OOBJ-0326-SM-33HBO	6	6	2	2	195.5	6	6	2	2
GTEX-X3Y1-2426-SM-3P5Z7	21	10	14	3	56.0	21	10	14	3
GTEX-WEY5-1926-SM-3GIL8	87	86	8	7	96.1	87	86	8	7
GTEX-N7MT-1926-SM-3LK5N	85	78	64	57	52.8	85	78	64	57
GTEX-QDT8-0011-R8A-SM-32PKE	32	32	2	2	29.1	32	32	2	2
GTEX-RTLS-0926-SM-2TF5X	77	77	29	29	46.1	77	77	29	29
GTEX-NPJ8-0126-SM-2YUNR	1		1		8.0	1		1	
GTEX-OHPK-0426-SM-3MJH3	159	156	51	48	236.5	159	156	51	48
GTEX-POMQ-2026-SM-2S1OD	136	134	48	46	100.8	136	134	48	46
GTEX-SNOS-0006-SM-32PLH	7	7			100.6	7	7		
GTEX-WYVS-0006-SM-3NMA7	58	57	8	7	198.7	58	57	8	7
GTEX-OIZF-0426-SM-3MJGX	3	1	2		22.0	3	1	2	
GTEX-PX3G-0006-SM-33HBQ	47	46	18	17	54.4	47	46	18	17
GTEX-P4PP-1626-SM-2HMJF	67	65	14	12	50.4	67	65	14	12
GTEX-R55E-0011-R5A-SM-2TC5N	5	1	4		27.4	5	1	4	
GTEX-X4EP-3226-SM-3P5YR	90	90	8	8	210.9	90	90	8	8
GTEX-T5JC-0626-SM-3NMA6	1	1			30.0	1	1		
GTEX-VJYA-0426-SM-3GIJK	6	5	1		118.8	6	5	1	
GTEX-NFK9-1626-SM-3LK5J	15	11	6	2	32.9	15	11	6	2
GTEX-POMQ-0826-SM-3P61H	140	139	25	24	87.5	140	139	25	24
GTEX-PWN1-0226-SM-2S1OZ	61	57	54	50	47.5	61	57	54	50
GTEX-PLZ4-1626-SM-3P618	60	60	4	4	121.6	60	60	4	4
GTEX-OXRK-0226-SM-3NB2G	86	84	49	47	112.3	86	84	49	47
GTEX-WOFM-0726-SM-3MJF8	1		1		8.0	1		1	
GTEX-QVJO-0011-R2A-SM-2S1QK	37	37	10	10	28.7	37	37	10	10
GTEX-T2IS-3026-SM-32QPM	58	58	8	8	58.0	58	58	8	8
GTEX-WXYG-2526-SM-3NB3F	61	60	16	15	43.6	61	60	16	15
GTEX-PW2O-0526-SM-2I3DX	3	2	1		44.3	3	2	1	
GTEX-RVPV-1226-SM-2TF73	7	2	5		19.1	7	2	5	
GTEX-WOFL-0626-SM-3MJG3	1		1		11.0	1		1	
GTEX-QEG5-0226-SM-2I5GI	5		5		36.8	5		5	
GTEX-TMMY-0426-SM-33HBB	72	72	43	43	91.8	72	72	43	43
GTEX-WFON-1226-SM-3TW8F	3		3		17.7	3		3	
GTEX-OXRN-0526-SM-2I5EN	4		4		58.2	4		4	
GTEX-WFG7-0005-SM-3GIKM	1	1			9.0	1	1		
GTEX-X261-0326-SM-3NMD4	3	3	1	1	137.7	3	3	1	1
GTEX-O5YT-0826-SM-3TW8N	6		6		75.5	6		6	
GTEX-UPJH-0006-SM-3GACW	3		3		74.0	3		3	
