seqnames	start	end	width	blood	brain	liver	muscle	kidney	common to x tissues	gene	present in intersection 145 vs 356
chr1	11561497	11561906	410	TRUE	TRUE	TRUE	TRUE	TRUE	5	PTCHD2	TRUE
chr1	40024971	40025413	443	TRUE	TRUE	TRUE	TRUE	TRUE	5	PPIEL	TRUE
chr1	68512539	68513061	523	TRUE	TRUE	TRUE	TRUE	TRUE	5	DIRAS3	TRUE
chr1	68515788	68517654	1867	TRUE	TRUE	TRUE	TRUE	TRUE	5	DIRAS3	TRUE
chr4	6107021	6107647	627	TRUE	TRUE	TRUE	TRUE	TRUE	5	JAKMIP1	TRUE
chr4	89618324	89619234	911	TRUE	TRUE	TRUE	TRUE	TRUE	5	NAP1L5	TRUE
chr5	140719225	140719960	736	TRUE	TRUE	TRUE	TRUE	TRUE	5	PCDHGA2	TRUE
chr6	3848904	3850104	1201	TRUE	TRUE	TRUE	TRUE	TRUE	5	FAM50B	TRUE
chr6	144328421	144329960	1540	TRUE	TRUE	TRUE	TRUE	TRUE	5	PLAGL1	TRUE
chr6	160426268	160427499	1232	TRUE	TRUE	TRUE	TRUE	TRUE	5	IGF2R	TRUE
chr7	50849639	50851501	1863	TRUE	TRUE	TRUE	TRUE	TRUE	5	GRB10	TRUE
chr7	94285642	94287240	1599	TRUE	TRUE	TRUE	TRUE	TRUE	5	PEG10	TRUE
chr7	130130122	130134486	4365	TRUE	TRUE	TRUE	TRUE	TRUE	5	MEST	TRUE
chr7	154862548	154863379	832	TRUE	TRUE	TRUE	TRUE	TRUE	5	HTR5A	TRUE
chr8	37605552	37605976	425	TRUE	TRUE	TRUE	TRUE	TRUE	5	ERLIN2	TRUE
chr8	141108113	141114389	6277	TRUE	TRUE	TRUE	TRUE	TRUE	5	TRAPPC9	TRUE
chr9	98075146	98079446	4301	TRUE	TRUE	TRUE	TRUE	TRUE	5	FANCC	TRUE
chr10	27702528	27703375	848	TRUE	TRUE	TRUE	TRUE	TRUE	5	PTCHD3	TRUE
chr11	2018724	2020099	1376	TRUE	TRUE	TRUE	TRUE	TRUE	5	H19	TRUE
